'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'4,'Text 52,"'Submit BinarySearchTree.hpp and BinarySearchTree_tests.cpp to the autograder.",'85,'94.28710938
'4,'Section header 6,"'Setup",'86,'91.40625000
'4,'Text 53,"'Rename these files (VS Code (macOS), VS Code (Windows), Visual Studio, Xcode, CLI):",'87,'91.35742188
'4,'List 6,"",'88,'88.52539063
'4,'Text 54 - Part of List 6,"'BinarySearchTree.hpp.starter -> BinarySearchTree.hpp",'89,'88.67187500
'4,'Text 55 - Part of List 6,"'BinarySearchTree_tests.cpp.starte -> BinarySearchTree_tests.cpp",'90,'80.90820313
'4,'Text 56,"'The BinarySearchTree tests should compile and run. The public tests and compile check will fail until you implement the functions. The test you write ( BinarySearchTree_tests.cpp) will pass because the starter file only contains ASSERT_TRUE(true) .",'91,'93.35937500
'4,'List 7,"",'92,'88.23242188
'4,'Text 57 - Part of List 7,"'1 $ make BinarySearchTree_compile_check.exe",'93,'96.24023438
'4,'Text 58 - Part of List 7,"'2 $ make BinarySearchTree_public_tests.exe",'94,'95.11718750
'4,'Text 59 - Part of List 7,"'3 BinarySearchTree_public_tests.exe",'95,'95.41015625
'4,'Text 60 - Part of List 7,"'4 $ make BinarySearchTree_tests.exe",'96,'94.77539063
'4,'Text 61 - Part of List 7,"'5 $ ./BinarySearchTree_tests.exe",'97,'92.18750000
'4,'Footer 4,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.html",'98,'80.27343750
'4,'Page number 4,"'4/25",'99,'77.53906250
'5,'Header 11,"'8/23/24, 10:34 AM",'100,'78.61328125
'5,'Header 12,"'p5-ml",'101,'50.39062500
'5,'Text 62,"'Configure your IDE to debug either the public tests or your own tests.",'102,'87.89062500
'5,'Table 3,"",'103,'96.19140625
'5,'Section header 7,"'Template Parameters",'104,'86.86523438
'5,'Text 63,"'BinarySearchTree has two template parameters:",'105,'90.62500000
'5,'Text 64,"'T - The type of elements stored within the tree.",'106,'97.55859375
'5,'Text 65,"'Compare - The type of comparator object (a functor) that should be used to determine whether one element is less than another. The default type is std: less<T> , which compares two T objects with the < operator. To compare elements in a different fashion, a custom comparator type must be specified.",'107,'97.80273438
'5,'Section header 8,"'No Duplicates Invariant",'108,'90.57617188
'5,'Text 66,"'In the context of this project, duplicate values are NOT allowed in a BST. This does not need to be the case, but it avoids some distracting complications.",'109,'96.72851563
'5,'Section header 9,"'Sorting Invariant",'110,'90.38085938
'5,'Text 67,"'A binary search tree is special in that the structure of the tree corresponds to a sorted ordering of elements and allows efficient searches (i.e. in logarithmic time).",'111,'94.77539063
'5,'Text 68,"'Every node in a well-formed binary search tree must obey this sorting invariant:",'112,'89.01367188
'5,'Footer 5,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.html",'113,'87.89062500
'5,'Page number 5,"'5/25",'114,'79.93164063
'6,'Header 13,"'8/23/24, 10:34 AM",'115,'89.50195313
'6,'Header 14,"'p5-ml",'116,'69.92187500
'6,'List 8,"",'117,'32.81250000
'6,'Text 69 - Part of List 8,"'It represents an empty tree (i.e. a null Node * ).",'118,'94.38476563
'6,'Text 70 - Part of List 8,"'- OR -",'119,'92.62695313
'6,'Text 71 - Part of List 8,"'The left subtree obeys the sorting invariant, and every element in the left subtree is less than the root element (i.e. this node).",'120,'95.65429688
'6,'Text 72 - Part of List 8,"'- AND -",'121,'93.65234375
'6,'Text 73 - Part of List 8,"'The right subtree obeys the sorting invariant, and the root element (i.e. this node) is less than every element in the right subtree.",'122,'93.70117188
'6,'Text 74,"'Put briefly, go left and you'll find smaller elements. Go right and you'll find bigger ones. For example, the following are all well-formed sorted binary trees:",'123,'93.65234375
'6,'Figure 4,"",'124,'46.48437500
'6,'Figure 5,"",'125,'45.04394531
'6,'Text 75,"'While the following are not:",'126,'74.16992188
'6,'Figure 6,"",'127,'78.27148438
'6,'Text 76,"'ProTip: When writing tests for check_sorting_invariant ( ) , you can use an iterator to break the invariant. For example:",'128,'92.91992188
'6,'List 9,"",'129,'64.35546875
'6,'Text 77 - Part of List 9,"'1 BinarySearchTree<int> b;",'130,'94.43359375
'6,'Text 78 - Part of List 9,"'2 b.insert (1) ;",'131,'91.35742188
'6,'Text 79 - Part of List 9,"'3 b.insert( (0) ;",'132,'82.37304688
'6,'Text 80 - Part of List 9,"'4 // change first datum to 2, resulting in the first broken tree above",'133,'69.43359375
'6,'Text 81 - Part of List 9,"'5 begin() = 2;",'134,'51.26953125
'6,'Text 82 - Part of List 9,"'6 ASSERT_FALSE(b.check_sorting_invariant()); -",'135,'64.40429688
'6,'Footer 6,"'le:///home/runner/work/p5-ml/p5-ml/_site/index.htm",'136,'85.88867188
'6,'Page number 6,"'6/25",'137,'73.09570313
'7,'Header 15,"'8/23/24, 10:34 AM",'138,'87.40234375
'7,'Header 16,"'p5-ml",'139,'55.46875000
'7,'Title 4,"'Data Representation",'140,'47.36328125
'7,'Text 83,"'The data representation for BinarySearchTree is a tree-like structure of nodes similar to that described in lecture. Each Node contains an element and pointers to left and right subtrees. The structure is self-similar. A null pointer indicates an empty tree. You must use this data representation. Do not add member variables to BinarySearchTree or Node",'141,'95.45898438
'7,'Section header 10,"'Public Member Functions and Iterator Interface",'142,'88.28125000
'7,'Text 84,"'The public member functions and iterator interface for BinarySearchTree are already implemented in the starter code. DO NOT modify the code for any of these functions. They delegate the work to private, static implementation functions, which you will write.",'143,'94.04296875
'7,'Section header 11,"'Implementation Functions",'144,'93.60351563
'7,'Text 85,"'The core of the implementation for BinarySearchTree is a collection of private, static member functions that operate on tree-like structures of nodes. You are responsible for writing the implementation of several of these functions.",'145,'93.35937500
'7,'Text 86,"'To disambiguate these implementation functions from the public interface functions, we have used names ending with _impl (This is not strictly necessary, because the compiler can differentiate them based on the Node* parameter.)",'146,'92.87109375
'7,'Text 87,"'There are a few keys to thinking about the implementation of these functions:",'147,'87.25585938
'7,'List 10,"",'148,'84.57031250
'7,'Text 88 - Part of List 10,"'The functions have no idea that such a thing as the BinarySearchTree class exists, and they shouldn't. A ""tree"" is not a class, but simply a tree-shaped structure of Node S. The parameter node points to the root of these nodes.",'149,'97.07031250
'7,'Text 89 - Part of List 10,"'A recursive implementation depends on the idea of similar subproblems, so a ""subtree"" is just as much a tree as the ""whole tree"". That means you shouldn't need to think about ""where you came from"" in your implementation.",'150,'97.55859375
'7,'Text 90 - Part of List 10,"'Every function should have a base case! Start by writing this part.",'151,'95.50781250
'7,'Text 91 - Part of List 10,"'You only need to think about one ""level"" of recursion at a time. Avoid thinking about the contents of subtrees and take the recursive leap of faith.",'152,'94.43359375
'7,'Text 92,"'We've structured the starter code so that the first bullet point above is actually enforced by the language. Because they are static member functions, they do not have access to a receiver object (i.e. there's no this pointer). That means it's actually impossible for these functions to try to do something bad with the BinarySearchTree object (e.g. trying to access the root member variable).",'153,'95.89843750
'7,'Footer 7,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.htm",'154,'88.96484375
'7,'Page number 7,"'7/25",'155,'80.76171875
'8,'Header 17,"'8/23/24, 10:34 AM",'156,'89.20898438
'8,'Header 18,"'p5-ml",'157,'63.18359375
'8,'Text 93,"'Instead, the implementation functions are called from the regular member functions to perform specific operations on the underlying nodes and tree structure, and are passed only a pointer to the root Node of the tree/subtree they should work with.",'158,'97.16796875
'8,'Text 94,"'The empty_impl function must run in constant time. It must must be able to determine and return its result immediately, without using either iteration or recursion. The rest of the implementation functions must be recursive. There are additional requirements on the kind of recursion that must be used for some functions. See comments in the starter code for details. Iteration (i.e. using loops) is not allowed in any of the _impl functions.",'159,'96.24023438
'8,'Section header 12,"'Using the Comparator",'160,'80.56640625
'8,'Text 95,"'The _impl functions that need to compare data take in a comparator parameter called less . Make sure to use less rather than the < operator to compare elements!",'161,'94.67773438
'8,'Section header 13,"'The insert_impl Function",'162,'93.06640625
'8,'Text 96,"'The key to properly maintaining the sorting invariant lies in the implementation of the insert_impl function - this is essentially where the tree is built, and this function will make or break the whole ADT. Your insert_impl function should follow this procedure:",'163,'96.28906250
'8,'List 11,"",'164,'96.77734375
'8,'Text 97 - Part of List 11,"'1. Handle an originally empty tree as a special case.",'165,'96.72851563
'8,'Text 98 - Part of List 11,"'2. Insert the element into the appropriate place in the tree, keeping in mind the sorting invariant. You'll need to compare elements for this, and to do so make sure to use the less comparator passed in as a parameter.",'166,'97.21679688
'8,'Text 99 - Part of List 11,"'3. Use the recursive leap of faith and call insert_impl itself on the left or right subtree. Hint: You do need to use the return value of the recursive call. (Why?)",'167,'96.48437500
'8,'Figure 7,"",'168,'46.48437500
'8,'Text 100,"'! Important: When recursively inserting an item into the left or right subtree, be sure to replace the old left or right pointer of the current node with the result from the recursive call. This is essential, because in some cases the old tree structure (i.e. the nodes pointed to by the old left or right pointer) is not reused. Specifically, if the subtree is empty, the only way to get the current node to ""know"" about the newly allocated node is to use the pointer returned from the recursive call.",'169,'96.43554688
'8,'Figure 8,"",'170,'41.57714844
'8,'Text 101,"'i Technicality: In some cases, the tree structure may become unbalanced (i.e. too many nodes on one side of the tree, causing it to be much deeper than necessary) and prevent efficient operation for large trees. You don't have to worry about this.",'171,'91.35742188
'8,'Footer 8,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.html",'172,'86.13281250
'8,'Page number 8,"'8/25",'173,'76.26953125
'9,'Header 19,"'8/23/24, 10:34 AM",'174,'71.48437500
'9,'Header 20,"'p5-ml",'175,'73.33984375
'9,'Title 5,"'Testing",'176,'38.76953125
'9,'Figure 9,"",'177,'83.74023438
'9,'List 12,"",'178,'26.58691406
'9,'Text 102 - Part of List 12,"'i Pro-tip: When writing tests for functions that return a size_t (which is an unsigned integer type), compare against an unsigned literal. For example:",'179,'94.23828125
'9,'Text 103 - Part of List 12,"'1 BinarySearchTree<int> b;",'180,'96.14257813
'9,'Text 104 - Part of List 12,"'2 ASSERT_EQUAL(b.height(), ou) ;",'181,'97.70507813
'9,'Section header 14,"'Map",'182,'86.18164063
'9,'Text 105,"'Write a map abstract data type (ADT). Map is an associative container, and works just like std: : map .",'183,'93.35937500
'9,'Text 106,"'Write implementations at the end of Map hpp for the functions declared at the beginning of Map. hpp . The most important functions are find , insert , and the [] operator.",'184,'89.16015625
'9,'Text 107,"'Your implementations should not require much code. Reuse the functionality provided by BinarySearchTree .",'185,'87.20703125
'9,'Text 108,"'Run the public Map tests.",'186,'71.04492188
'9,'List 13,"",'187,'82.66601563
'9,'Text 109 - Part of List 13,"'1 $ make Map_compile_check.exe",'188,'95.75195313
'9,'Text 110 - Part of List 13,"'2 $ make Map_public_tests.exe",'189,'93.11523438
'9,'Text 111 - Part of List 13,"'3 $ /Map_public_tests.exe",'190,'91.25976563
'9,'Text 112,"'Write tests for Map in Map_tests.cpp using the Unit Test Framework. While you should write your own tests for Map to ensure that your implementation is correct, you do not have to submit your tests to the autograder.",'191,'96.53320313
'9,'List 14,"",'192,'80.56640625
'9,'Text 113 - Part of List 14,"'1 $ make Map_tests.exe",'193,'98.29101563
'9,'Text 114 - Part of List 14,"'2 $ ./Map_tests.exe",'194,'97.36328125
'9,'Text 115,"'Submit Map. hpp to the autograder. Don't forget to include the code you finished earlier, BinarySearchTree.hpp and BinarySearchTree_tests.cpp",'195,'93.65234375
'9,'Section header 15,"'Setup",'196,'84.17968750
'9,'Text 116,"'Rename these files (VS Code (macOS), VS Code (Windows), Visual Studio, Xcode, CLI):",'197,'91.74804688
'9,'List 15,"",'198,'84.27734375
'9,'Text 117 - Part of List 15,"'Map.hpp.starter -> Map.hpp",'199,'94.14062500
'9,'Text 118 - Part of List 15,"'Map_tests.cpp.starter -> Map_tests.cpp",'200,'92.48046875
'9,'Footer 9,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.htm",'201,'90.13671875
'9,'Page number 9,"'9/25",'202,'66.89453125
'10,'Header 21,"'8/23/24, 10:34 AM",'203,'61.96289063
'10,'Header 22,"'p5-ml",'204,'60.93750000
'10,'Text 119,"'Edit Map. hpp , adding a function stub for every function prototype in Map . Here are a few examples to get you started. We're using K , V, and C as shorthands for Key_type , Value_type and Key_compare",'205,'97.60742188
'10,'Figure 10,"",'206,'30.39550781
'10,'Text 120,"'Now you should be able to compile and run the Map unit tests. The public tests will fail until you implement the functions.",'207,'92.43164063
'10,'List 16,"",'208,'96.38671875
'10,'Text 121 - Part of List 16,"'1 $ make Map_compile_check.exe",'209,'98.19335938
'10,'Text 122 - Part of List 16,"'2 $ make Map_public_tests.exe",'210,'98.29101563
'10,'Text 123 - Part of List 16,"'3 $ ./Map_public_tests.exe",'211,'98.04687500
'10,'Text 124,"'Configure your IDE to debug either the public tests or your own tests. Writing your own tests for Map is optional.",'212,'94.28710938
'10,'Table 4,"",'213,'94.72656250
'10,'Footer 10,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.htm",'214,'90.23437500
'10,'Page number 10,"'10/25",'215,'78.22265625
'11,'Header 23,"'8/23/24, 10:34 AM",'216,'50.97656250
'11,'Text 125,"'p5-ml",'217,'49.70703125
'11,'Table 5,"",'218,'94.18945313
'11,'Section header 16,"'Map Examples",'219,'76.85546875
'11,'Text 126,"'A map is an associative container. It stores two types, key and value. Our map works just like std: : map. .",'220,'94.43359375
'11,'Text 127,"'Map<string, double> words; std: : map<string, double> words;",'221,'67.23632813
'11,'Text 128,"'One way to use a map is a lot like an array. A",'222,'50.68359375
'11,'Text 129,"'words [""hello""] = 1;",'223,'45.89843750
'11,'Figure 11,"",'224,'27.27050781
'11,'Text 130,"'Maps store a std::pair type, which ""glues"" one key to one value. The computer science term is Tuple, a fixed-size heterogeneous container.",'225,'96.09375000
'11,'Text 131,"'pair<string, double> tuple; tuple. first = ""world""; tuple. second = 2; words. insert (tuple) ;",'226,'80.76171875
'11,'Text 132,"'Here's a more compact way to insert a pair.",'227,'91.65039063
'11,'Text 133,"'words.insert ({""pi"", ..44159})",'228,'93.26171875
'11,'Text 134,"'The range-for loop makes it easier to iterate over a map.",'229,'93.65234375
'11,'Text 135,"'for (const auto &kv : words) { const auto &word = kv. first; //key auto number = kv. second; //value cout << word << "" "" << number << endl; }",'230,'91.79687500
'11,'Footer 11,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.html",'231,'91.35742188
'11,'Page number 11,"'11/25",'232,'79.58984375
'12,'Header 24,"'8/23/24, 10:34 AM",'233,'77.34375000
'12,'Header 25,"'p5-ml",'234,'37.93945313
'12,'Text 136,"'You can check if a key is in the map. The find() function returns an iterator.",'235,'84.76562500
'12,'Text 137,"'auto found_it = words. find (""pi""); if (found_it != words.end( { const auto &word = (*found_it).first; //key auto number = (*found_it).second;//value cout << ""found << word <<"" << number << endl; }",'236,'76.12304688
'12,'Text 138,"'When using the [] notation, an element not found is automatically created. If the value type of the map is numeric, it will always be O by default.",'237,'87.10937500
'12,'Text 139,"'cout << ""bleh: ""<<words[""bleh""]<< endl;",'238,'98.94432068
'12,'Figure 12,"",'239,'29.41894531
'12,'Figure 13,"",'240,'36.42578125
'12,'Section header 17,"'Building on the BST",'241,'87.89062500
'12,'Text 140,"'The operation of a map is quite similar to that of a BST. The additional consideration for a map is that we want to store key-value pairs instead of single elements, but also have any comparisons (e.g. for searching) only depend on the key and be able to freely change the stored values without messing up the BST sorting invariant. We can employ the has-a pattern using a BinarySearchTree as the data representation for Map:",'242,'96.87500000
'12,'List 17,"",'243,'57.76367188
'12,'Text 141 - Part of List 17,"'BST template parameter: T",'244,'88.57421875
'12,'Text 142 - Part of List 17,"'Instantiate with: Pair_type",'245,'81.83593750
'12,'Text 143 - Part of List 17,"'We've provided a using declaration in the starter code for Pair_type",'246,'81.25000000
'12,'Text 144 - Part of List 17,"'using Pair_type = std::pair<Key_type, Value_type>;",'247,'70.06835938
'12,'Text 145 - Part of List 17,"'std::pair is basically like a struct that stores two objects together. Key_type and Value_type are whatever template parameters were used to instantiate Map",'248,'84.86328125
'12,'Text 146 - Part of List 17,"'BST template parameter: Compare",'249,'82.03125000
'12,'Text 147 - Part of List 17,"'Instantiate with: PairComp",'250,'66.25976563
'12,'Text 148,"'You'll need to define your own comparator by declaring a functor type called PairComp (or whatever you want to call it) in your Map class. The overloaded ( ) operator should accept two objects of Pair_type and return whether the key of the LHS is less than the key of the RHS (according to Key_compare ).",'251,'91.01562500
'12,'Text 149,"'Finally, we can even reuse the iterators from the BST class, since the interface we want (based on std: : map ) calls for iterators to yield a key-value pair when dereferenced. Since the element type T of the BST is our Pair_type BST iterators will yield pairs and will work just fine. We've",'252,'86.23046875
'12,'Footer 12,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.htm",'253,'89.01367188
'12,'Page number 12,"'12/25",'254,'70.16601563
'13,'Header 26,"'8/23/24, 10:34 AM",'255,'78.71093750
'13,'Header 27,"'p5-ml",'256,'48.82812500
'13,'Header 28,"'provided this using declaration with the starter code to make Map: : Iterator simply an alias for iterators from the corresponding BST:",'257,'46.58203125
'13,'Header 29,"'using Iterator = typename BinarySearchTree<Pair_type, PairComp> Iterator;",'258,'50.09765625
'13,'Title 6,"'ML and NLP Background",'259,'46.28906250
'13,'Figure 14,"",'260,'85.05859375
'13,'Text 150,"'i Pro-tip: Skim this section the first time through. Refer back to it while you're coding the Classifier.",'261,'92.87109375
'13,'Section header 18,"'Machine Learning and Classification",'262,'89.01367188
'13,'Text 151,"'The goal for this project is to write an intelligent program that can classify Piazza posts according to topic. This task is easy for humans - we simply read and understand the content of the post, and the topic is intuitively clear. But how do we compose an algorithm to do the same? We can't just tell the computer to ""look at it"" and understand. This is typical of problems in artificial intelligence and natural language processing.",'263,'97.26562500
'13,'Text 152,"'We know this is about Euchre, but how can we write an algorithm that ""knows"" that?",'264,'85.69335938
'13,'Text 153,"'With a bit of introspection, we might realize each individual word is a bit of evidence for the topic about which the post was written. Seeing a word like ""card"" or ""spades"" leads us toward the Euchre project. We judge a potential label for a post based on how likely it is given all the evidence. Along these lines, information about how common each word is for each topic essentially constitutes our classification algorithm.",'265,'96.58203125
'13,'Text 154,"'But we don't have that information (i.e. that algorithm). You could try to sit down and write out a list of common words for each project, but there's no way you'll get them all. For example, the word ""lecture"" appears much more frequently in posts about exam preparation. This makes sense, but we probably wouldn't come up with it on our own. And what if the projects change? We don't want to have to put in all that work again.",'266,'95.75195313
'13,'Text 155,"'Instead, let's write a program to comb through Piazza posts from previous terms (which are already tagged according to topic) and learn which words go with which topics. Essentially, the result of our program is an algorithm! This approach is called (supervised) machine learning. Once we've trained the classifier on some set of Piazza posts, we can apply it to new ones written in the future.",'267,'95.21484375
'13,'Footer 13,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.htm",'268,'88.96484375
'13,'Page number 13,"'13/25",'269,'70.50781250
'14,'Header 30,"'8/23/24, 10:34 AM",'270,'78.22265625
'14,'Header 31,"'p5-ml",'271,'70.89843750
'14,'Text 156,"'At a high level, the classifier we'll implement works by assuming a probabilistic model of how Piazza posts are composed, and then finding which label (e.g. our categories of ""euchre"", ""exam"", etc.) is the most probable source of a particular post.",'272,'97.60742188
'14,'Text 157,"'All the details of natural language processing (NLP) and machine learning (ML) techniques you need to implement the project are described here. You are welcome to consult other resources, but there are many kinds of classifiers that have subtle differences. The classifier we describe here is a simplified version of a ""Multi-Variate Bernoulli Naive Bayes Classifier"". If you find other resources, but you're not sure they apply, make sure to check them against this specification.",'273,'96.04492188
'14,'Text 158,"'This document provides a more complete description of the way the classifier works, in case you're interested in the math behind the formulas here.",'274,'92.28515625
'14,'Section header 19,"'Piazza Dataset",'275,'87.45117188
'14,'Text 159,"'For this project, we retrieved archived Piazza posts from EECS 280 in past terms. We will focus on two different ways to divide Piazza posts into labels (i.e. categories).",'276,'95.84960938
'14,'Text 160,"'By topic. Labels: ""exam"", ""calculator"", ""euchre"", ""image"", ""recursion"", ""statistics""",'277,'95.70312500
'14,'Text 161,"'Example: Posts extracted from w16_projects_exam.csv",'278,'87.45117188
'14,'Table 6,"",'279,'94.67773438
'14,'Text 162,"'By author. Labels: ""instructor"", ""student""",'280,'94.77539063
'14,'Text 163,"'Example: Posts extracted from w14-f15_instructor_student.csv",'281,'90.62500000
'14,'Table 7,"",'282,'93.55468750
'14,'Footer 14,"'file:///home/runner/work/p5-ml/p5-ml/_site/index.htm",'283,'90.33203125
'14,'Page number 14,"'14/25",'284,'83.69140625
'15,'Header 32,"'8/23/24, 10:34 AM",'285,'79.93164063
'15,'Header 33,"'p5-ml",'286,'70.99609375
'15,'Table 8,"",'287,'97.07031250
