'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'2,'Text 46,"'44",'49,'93.79882813
'2,'Text 47,"'45",'50,'93.16406250
'2,'Text 48,"'10 Structs",'51,'64.94140625
'2,'Text 49,"'47",'52,'92.77343750
'2,'Text 50,"'10.1 Compound Objects and const",'53,'87.20703125
'2,'Text 51,"'52",'54,'92.04101563
'2,'Text 52,"'11 Abstract Data Types in C",'55,'49.31640625
'2,'Text 53,"'54",'56,'91.65039063
'2,'Text 54,"'11.1 Representation Invariants",'57,'80.27343750
'2,'Text 55,"'58",'58,'89.74609375
'2,'Text 56,"'11.2 Plain Old Data",'59,'86.81640625
'2,'Text 57,"'59",'60,'88.13476563
'2,'Text 58,"'11.3 Abstraction Layers",'61,'87.20703125
'2,'Text 59,"'60",'62,'87.15820313
'2,'Page number 1,"'i",'63,'66.01562500
'3,'Text 60,"'11.4 Testing an ADT",'64,'65.13671875
'3,'Text 61,"'61",'65,'73.33984375
'3,'Text 62,"'12 Command-Line Arguments",'66,'51.07421875
'3,'Text 63,"'64",'67,'87.45117188
'3,'Text 64,"'13 Input and Output (I/O)",'68,'38.67187500
'3,'Text 65,"'66",'69,'95.65429688
'3,'Text 66,"'13.1 I/O Redirection",'70,'69.53125000
'3,'Text 67,"'66",'71,'95.84960938
'3,'Text 68,"'13.2 Example: Adding Integers",'72,'88.28125000
'3,'Text 69,"'13.3 File I/O",'73,'43.40820313
'3,'Text 70,"'14 More on Streams",'74,'45.23925781
'3,'Text 71,"'14.1 String Streams",'75,'72.50976563
'3,'Section header 2,"'15 Program Design",'76,'42.62695313
'3,'Text 72,"'16 Abstract Data Types in C++",'77,'37.98828125
'3,'Text 73,"'16.1 Implicit this->",'78,'72.41210938
'3,'Text 74,"'16.2 Member Accessibility",'79,'77.24609375
'3,'Text 75,"'16.3 Constructors",'80,'80.37109375
'3,'Text 76,"'16.4 Default Initialization and Default Constructors",'81,'71.87500000
'3,'Text 77,"'16.8 Member-Initialization Order",'82,'74.90234375
'3,'Text 78,"'16.9 Delegating Constructors",'83,'73.24218750
'3,'Section header 3,"'17 Derived Classes and Inheritance",'84,'39.50195313
'3,'Text 79,"'17.1 Ordering of Constructors and Destructors",'85,'79.10156250
'3,'Text 80,"'17.2 Name Lookup and Hiding",'86,'52.63671875
'3,'Text 81,"'18 Polymorphism",'87,'44.16503906
'3,'Text 82,"'18.1 Function Overloading",'88,'64.89257813
'3,'Text 83,"'18.2 Subtype Polymorphism",'89,'69.77539063
'3,'Text 84,"'101",'90,'78.41796875
'3,'Text 85,"'18.3 Static and Dynamic Binding",'91,'69.18945313
'3,'Text 86,"'18.4 dynamic_cast",'92,'92.67491913
'3,'Text 87,"'67",'93,'95.60546875
'3,'Text 88,"'68",'94,'95.65429688
'3,'Text 89,"'72",'95,'94.97070313
'3,'Text 90,"'73",'96,'95.70312500
'3,'Text 91,"'75",'97,'96.87500000
'3,'Text 92,"'76",'98,'95.55664063
'3,'Text 93,"'78",'99,'96.33789063
'3,'Text 94,"'80",'100,'96.53320313
'3,'Text 95,"'81",'101,'96.72851563
'3,'Text 96,"'83",'102,'96.04492188
'3,'Text 97,"'16.5 Get and Set Functions",'103,'80.81054688
'3,'Text 98,"'85",'104,'95.60546875
'3,'Text 99,"'16.6 Information Hiding",'105,'86.66992188
'3,'Text 100,"'87",'106,'93.99414063
'3,'Text 101,"'16.7 Testing a C++ ADT",'107,'81.73828125
'3,'Text 102,"'88",'108,'93.06640625
'3,'Text 103,"'89",'109,'92.08984375
'3,'Text 104,"'89",'110,'92.48046875
'3,'Text 105,"'91",'111,'90.13671875
'3,'Text 106,"'95",'112,'89.11132813
'3,'Text 107,"'97",'113,'89.99023438
'3,'Text 108,"'100",'114,'88.62304688
'3,'Text 109,"'100",'115,'84.66796875
'3,'Text 110,"'103",'116,'87.59765625
'3,'Text 111,"'104",'117,'79.05273438
'3,'Text 112,"'18.5 Member Lookup Revisited",'118,'65.67382813
'3,'Text 113,"'105",'119,'79.63867188
'3,'Text 114,"'18.6 The override Keyword",'120,'58.15429688
'3,'Text 115,"'107",'121,'80.61523438
'3,'Text 116,"'18.7 Abstract Classes and Interfaces",'122,'68.40820313
'3,'Text 117,"'108",'123,'76.85546875
'3,'Section header 4,"'III Containers and Dynamic Memory",'124,'71.53320313
'3,'Text 118,"'110",'125,'87.64648438
'3,'Section header 5,"'19 Containers and Iterators",'126,'40.82031250
'3,'Text 119,"'111",'127,'85.64453125
'3,'Text 120,"'19.1 Range-Based For Loops",'128,'78.41796875
'3,'Text 121,"'111",'129,'83.39843750
'3,'Text 122,"'20 Time Complexity",'130,'43.21289063
'3,'Text 123,"'114",'131,'86.03515625
'3,'Text 124,"'21 Arrays",'132,'50.39062500
'3,'Text 125,"'115",'133,'88.18359375
'3,'Text 126,"'21.1 Arrays and Pointers",'134,'79.19921875
'3,'Text 127,"'118",'135,'87.74414063
'3,'Text 128,"'21.2 Pointer Arithmetic",'136,'73.24218750
'3,'Text 129,"'119",'137,'88.08593750
'3,'Text 130,"'21.3 Array Indexing",'138,'82.03125000
'3,'Text 131,"'120",'139,'83.69140625
'3,'Text 132,"'21.4 More on Array Decay",'140,'87.10937500
'3,'Text 133,"'122",'141,'84.71679688
'3,'Text 134,"'21.5 The End of an Array",'142,'83.20312500
'3,'Text 135,"'122",'143,'87.98828125
'3,'Text 136,"'21.6 Array Traversal",'144,'71.92382813
'3,'Text 137,"'123",'145,'86.47460938
'3,'Text 138,"'21.7 Arrays and const",'146,'56.78710938
'3,'Text 139,"'124",'147,'81.15234375
'3,'Page number 2,"'ii",'148,'62.50000000
'4,'Table 1,"",'149,'28.90625000
'4,'Section header 6,"'28 Implementing Iterators",'150,'54.29687500
'4,'Text 140,"'193",'151,'73.09570313
'4,'Text 141,"'28.1 Iterator Definition",'152,'62.35351563
'4,'Text 142,"'196",'153,'65.13671875
'4,'Text 143,"'201",'154,'64.50195313
'4,'Text 144,"'28.3 Generic Iterator Functions 202",'155,'50.29296875
'4,'Text 145,"'28.2 Friend Declarations",'156,'67.91992188
'4,'Text 146,"'28.5 Type Deduction 205",'157,'42.43164063
'4,'Text 147,"'204",'158,'65.03906250
'4,'Text 148,"'28.4 Iterator Invalidation",'159,'43.67675781
'4,'Text 149,"'207",'160,'67.82226563
'4,'Section header 7,"'IV Functional Programming",'161,'61.23046875
'4,'Text 150,"'208",'162,'67.91992188
'4,'Section header 8,"'29 Function Objects",'163,'46.38671875
'4,'Text 151,"'211",'164,'56.88476563
'4,'Footer 2,"'iii",'165,'46.28906250
'4,'Text 152,"'29.1 Function-Pointer Types",'166,'64.25781250
'5,'Table 2,"",'167,'26.31835938
'5,'Text 153,"'iv",'168,'56.39648438
'6,'Header 3,"'Programming and Data Structures, Release 0.3",'169,'60.83984375
'6,'Section header 9,"'List of Lectures",'170,'82.32421875
'6,'List 1,"",'171,'81.29882813
'6,'Text 154 - Part of List 1,"'1) Introduction and C++",'172,'97.85156250
'6,'Text 155 - Part of List 1,"'2) Types, Control Structures, and Procedural Abstraction",'173,'97.46093750
'6,'Text 156 - Part of List 1,"'3) Machine Model I",'174,'97.31445313
'6,'Text 157 - Part of List 1,"'4) Machine Model II",'175,'97.46093750
'6,'Text 158 - Part of List 1,"'5) Const, Structs, and ADTs in C",'176,'98.09570313
'6,'Text 159 - Part of List 1,"'6) Streams and I/O",'177,'97.75390625
'6,'Text 160 - Part of List 1,"'7) Program Design",'178,'97.36328125
'6,'Text 161 - Part of List 1,"'8) Abstract Data Types in C++",'179,'97.02148438
'6,'Text 162 - Part of List 1,"'9) Derived Classes and Inheritance",'180,'96.58203125
'6,'Text 163 - Part of List 1,"'10) Polymorphism",'181,'95.84960938
'6,'Text 164 - Part of List 1,"'11) Containers and Iterators",'182,'94.92187500
'6,'Text 165 - Part of List 1,"'12) Time Complexity, Arrays, and Pointer Arithmetic",'183,'94.82421875
'6,'Text 166 - Part of List 1,"'13) Array-based Containers I",'184,'93.55468750
'6,'Text 167 - Part of List 1,"'14) Array-based Containers II",'185,'94.23828125
'6,'Text 168 - Part of List 1,"'15) Memory Models and Dynamic Memory",'186,'92.43164063
'6,'Text 169 - Part of List 1,"'16) Managing Dynamic Memory",'187,'94.48242188
'6,'Text 170 - Part of List 1,"'17) The Big Three",'188,'95.06835938
'6,'Text 171 - Part of List 1,"'18) Linked Lists",'189,'94.72656250
'6,'Text 172 - Part of List 1,"'19) Implementing Iterators",'190,'93.21289063
'6,'Text 173 - Part of List 1,"'20) Function Objects and Impostor Syndrome",'191,'92.33398438
'6,'Text 174 - Part of List 1,"'21) Recursion",'192,'94.09179688
'6,'Text 175 - Part of List 1,"'22) Structural Recursion",'193,'92.72460938
'6,'Text 176 - Part of List 1,"'23) Binary Search Trees and Maps",'194,'91.74804688
'6,'Text 177 - Part of List 1,"'24) Error Handling and Exceptions",'195,'92.13867188
'6,'Footer 3,"'CONTENTS",'196,'87.30468750
'6,'Page number 3,"'1",'197,'71.48437500
'7,'Title 1,"'Part I Foundations",'198,'37.84179688
'7,'Page number 4,"'2",'199,'86.81640625
'8,'Header 4,"'CHAPTER",'200,'44.94628906
'8,'Header 5,"'ONE",'201,'38.20800781
'8,'Title 2,"'INTRODUCTION",'202,'42.52929688
'8,'Text 178,"'Welcome to EECS 280: Programming and Introductory Data Structures! This course covers several fundamental concepts in programming, including basic principles such as procedural and data abstraction, resource management, and basic data structures. The following is the official course description:",'203,'96.43554688
'8,'Text 179,"'Techniques and algorithm development and effective programming, top-down analysis, structured pro- gramming, testing, and program correctness. Program language syntax and static and runtime semantics. Scope, procedure instantiation, recursion, abstract data types, and parameter passing methods. Structured data types, pointers, linked data structures, stacks, queues, arrays, records, and trees.",'204,'94.18945313
'8,'Text 180,"'This course, and Computer Science in general, is not about computers, as stated by Hal Abelson, author of the seminal textbook Structure and Interpretation of Computer Programs:",'205,'89.01367188
'8,'Text 181,"'[Computer science] is not really about computers - and it's not about computers in the same sense that physics is not really about particle accelerators, and biology is not about microscopes and Petri dishes and geometry isn't really about using surveying instruments.",'206,'93.11523438
'8,'Text 182,"'Instead, the purpose of this course is to examine the generalizable concepts in programming. To understand what a generalizable concept is, let's take a diversion from programming and consider a concept in baking. How many eggs do you put in a cake (assuming a single-layer, eight-inch cake)? Eggs serve several functions in a cake, including providing structure, influencing the texture and smoothness, providing moisture, and contributing to the taste of the cake. As an experiment, Summer Stone of The Cake Blog varied the number of eggs in a recipe between zero and four, finding the following:",'207,'97.26562500
'8,'List 2,"",'208,'93.31054688
'8,'Text 183 - Part of List 2,"'0 eggs: The cake was short and dense, and it fell apart when cut. It also tasted very much like flour.",'209,'97.94921875
'8,'Text 184 - Part of List 2,"'1 egg: The cake was dense and compact, but held together when cut and had a pleasant taste.",'210,'97.60742188
'8,'Text 185 - Part of List 2,"'2 eggs: The cake had a greater height and lighter texture and also had a pleasant taste.",'211,'97.55859375
'8,'Text 186 - Part of List 2,"'3 eggs: The cake was even taller and lighter, with a slightly spongy texture, and still had a pleasant taste.",'212,'97.46093750
'8,'Text 187 - Part of List 2,"'4 eggs: The cake was short, dense, and rubbery and tasted very much like egg.",'213,'95.99609375
'8,'Text 188,"'The generalizable concept here is that eggs provide structure to a cake, and that more eggs results in a lighter cake, up to a point. Thus, the structure and texture of a cake can be manipulated by varying the number of eggs, as long as there aren't too few or too many.",'214,'94.92187500
'8,'Text 189,"'The topics that we will cover in this course concern the generalizable concepts in programming, including procedural abstraction, data abstraction, dynamic resource management, object orientation, and many others. We will use C++ as our vehicle for learning these concepts, and we will implement several large programming projects to develop our experience and understanding of the concepts. However, learning C++ and implementing projects aren't the end goal; rather, they are the mechanisms we use to explore the topics.",'215,'95.84960938
'8,'Page number 5,"'3",'216,'82.17773438
'9,'Header 6,"'CHAPTER TWO",'217,'31.03027344
'9,'Title 3,"'C++ FUNDAMENTALS",'218,'70.65429688
'9,'Text 190,"'C++ is a programming language, a language designed for expressing programs at a higher level than machine code, which is what directly runs on a computer's central processing unit (CPU). For example, Intel and AMD processors (typically used in Windows machines) implement the x86_64 instruction set architecture (ISA), which results in ma- chine code that looks like the following:",'219,'99.02343750
'9,'Table 3,"",'220,'84.17968750
'9,'Text 191,"'Apple CPUs, as well as most mobile processors, implement the AArch64 ISA, with code like:",'221,'91.16210938
'9,'Table 4,"",'222,'96.82617188
'9,'Text 192,"'Machine code is extremely low level, SO rather than writing programs in it directly, we prefer to use a higher-level programming language that allows us to write more readable code that can work on many different CPU architectures. We can then use a compiler to translate the program into the equivalent machine code to run directly on a CPU. Examples of compilers for C++ include g++ (the GNU C++ compiler), Clang, and MSVC (Microsoft Visual C++).",'223,'97.85156250
'9,'Text 193,"'Alternatively, we can run a higher-level program through an interpreter, which rather than translating the program into machine code, directly emulates the behavior of the program. Lobster is an example of an interpreter for (a subset of) C++.",'224,'97.46093750
'9,'Text 194,"'To illustrate the compilation process, let's start with a small C++ program that prints to standard output (typically displaying in a console/terminal):",'225,'96.38671875
'9,'Text 195,"'#include <iostream>",'226,'91.35742188
'9,'Text 196,"'using namespace std;",'227,'87.74414063
'9,'Text 197,"'int main() { // print a greeting",'228,'81.44531250
'9,'Text 198,"'(continues on next page)",'229,'90.82031250
'9,'Page number 6,"'4",'230,'77.39257813
'10,'Header 7,"'Programming and Data Structures, Release 0.3",'231,'65.77148438
'10,'Text 199,"'(continued from previous page)",'232,'51.85546875
'10,'Text 200,"'cout << ""Hello World!"" << endl;",'233,'32.20214844
'10,'Text 201,"'// Declare some variables int x = 10 + 5; int y = 0; y = x; X = 20; // Print out the result cout << ""x = "" << < << "", y = "" << y << endl;",'234,'36.30371094
'10,'Text 202,"'}",'235,'82.13966370
'10,'Text 203,"'We will momentarily discuss what each part of the program means, but first let's compile and run the code. Assuming that the code is located in the file hello. cpp, we can compile it from the terminal (or command line) with g++:",'236,'80.90820313
'10,'Text 204,"'g++ --std=c++17 hello.cpp -0 hello.exe",'237,'56.00585938
'10,'Text 205,"'The items following g++ are arguments (or command-line arguments to be precise) to the compiler:",'238,'93.94531250
'10,'List 3,"",'239,'92.87109375
'10,'Text 206 - Part of List 3,"'--std=c++17 tells the compiler to use the C++17 version of the language",'240,'96.82617188
'10,'Text 207 - Part of List 3,"'hello. cpp is our program",'241,'93.89648438
'10,'Text 208 - Part of List 3,"'-0 hello. exe tells the compiler to name the resulting machine-code file, or executable, as hello.exe",'242,'96.04492188
'10,'Text 209,"'After running the above command, we can now run the resulting executable from the command line:",'243,'79.10156250
'10,'Text 210,"'/hello.exe",'244,'73.24218750
'10,'Text 211,"'Here, / tells the terminal that the executable is in the current directory (or folder). The terminal runs the program and displays the printed output:",'245,'93.89648438
'10,'Text 212,"'Hello World! X = 20, y = 15",'246,'92.43164063
'10,'Text 213,"'Returning to the program source code, the first line (#include <iostream>) imports functionality from the C++ standard library, allowing us to write output to the screen and read input from the keyboard. In particular, it defines cout, which we can use with the insertion operator << to print values to standard output. The cout variable is actually defined inside the std (short for ""standard"") namespace, which is a way to organize names to avoid conflicts with other libraries. There are several ways we can use a name defined within a namespace:",'247,'96.82617188
'10,'Text 214,"'with a qualified name that includes the namespace, as in std: : cout:",'248,'95.06835938
'10,'Text 215,"'#include <iostream>",'249,'45.89843750
'10,'Text 216,"'int main() { // print a greeting std::cout << ""Hello World!"" << std: : endl; }",'250,'95.31250000
'10,'Text 217,"'by first importing each name we want to use directly via using declarations, after which we can use the name without qualification:",'251,'96.04492188
'10,'Text 218,"'#include <iostream>",'252,'75.78125000
'10,'Text 219,"'(continues on next page)",'253,'56.29882813
'10,'Page number 7,"'5",'254,'92.28515625
'11,'Header 8,"'Programming and Data Structures, Release 0.3",'255,'71.38671875
'11,'Text 220,"'(continued from previous page)",'256,'68.94531250
'11,'Text 221,"'using std: cout; using std: endl int main() { // print a greeting cout << ""Hello World!"" << endl; }",'257,'39.59960938
'11,'Text 222,"'by importing all the names from a namespace at once:",'258,'87.35351563
'11,'Text 223,"'#include <iostream> using namespace std;",'259,'43.67675781
'11,'Text 224,"'int main() { // print a greeting cout << ""Hello World!"" << endl; }",'260,'85.59570313
'11,'Text 225,"'Be careful with the last option, as there can be many names defined within a namespace, and importing them all increases the likelihood of there being a conflict with names defined outside of the namespace. For simplicity, we will use it here.",'261,'94.97070313
'11,'Text 226,"'After the initial two lines, we have a definition of a main() function, which is the entry point of a C++ program. The function returns an integer, represented by the int type, and that comes before the function name itself. For now, we define main () to not take any arguments. (If the function takes arguments, there would be function parameters between the parentheses; we will return to this later.) Then we have the body of the function, enclosed by a pair of matching curly braces. Within the body, we have a sequence of statements, which are executed in order. The first line of the body is actually a comment rather than a statement:",'262,'95.89843750
'11,'Text 227,"'// print a statement",'263,'49.12109375
'11,'Text 228,"'This does not do anything, but it serves as documentation for someone reading the code. We can write a comment by starting it with double slashes, in which case the rest of the line comprises the comment. Alternatively, we can use the sequence /* to open a comment and */ to close it, which allows a comment to span multiple lines or part of a line:",'264,'96.28906250
'11,'Text 229,"'int main() a comment here */ { 1* here is a multiline comment */ }",'265,'92.04101563
'11,'Text 230,"'After the initial comment, we have a statement that prints to standard output:",'266,'92.72460938
'11,'Text 231,"'cout ""Hello World!"" endl;",'267,'83.20312500
'11,'Text 232,"'We use the insertion operator << to insert the string ""Hello World!"" - a string is a sequence of characters, and we can write one directly in our program by enclosing it in double quotes. (Be aware that unlike some other languages, C++ strings cannot span multiple lines in the source code.) After inserting the string, we chain another insertion of endl, which is defined by <iostream> in the std namespace. Inserting endl writes a newline, and it also flushes the output, meaning that it forces the output to appear immediately. (Without flushing, the output can be buffered until a later time, which can result in better performance at the expense of delaying output.) Finally, we end the statement with a semicolon, which is required at the end of simple statements in C++. Unlike Python and some other languages,",'268,'95.26367188
'11,'Page number 8,"'6",'269,'83.98437500
'12,'Header 9,"'Programming and Data Structures, Release 0.3",'270,'50.29296875
'12,'Text 233,"'whitespace is not generally significant in C++ programs, SO the end of a line does not automatically end a statement. We can see what happens if we forget a semicolon:",'271,'98.09570313
'12,'Text 234,"'#include <iostream>",'272,'48.53515625
'12,'Text 235,"'using namespace std;",'273,'42.16308594
'12,'Text 236,"'int main() { // print a greeting cout << ""Hello World!"" << endl // oops }",'274,'89.89257813
'12,'Text 237,"'Attempting to compile the program results in the following:",'275,'77.09960938
'12,'Text 238,"'hello. cpp: 7:33: error: expected ';' after expression cout << ""Hello World!"" << endl // oops ^ ; 1 error generated.",'276,'60.10742188
'12,'Text 239,"'This is a compile error, and it is the compiler informing us that we have a mistake in our code. The compiler does not produce an executable in such a case, and we have to fix our error and recompile.",'277,'94.82421875
'12,'Text 240,"'Continuing where we left off in our program, we have the following line:",'278,'89.55078125
'12,'Text 241,"'int x = 10 + 5;",'279,'71.63085938
'12,'Text 242,"'This is a variable declaration, which introduces a new variable, and in C++, it has three components:",'280,'95.70312500
'12,'List 4,"",'281,'89.16015625
'12,'Text 243 - Part of List 4,"'the type of the variable (int for an integer in this case)",'282,'96.58203125
'12,'Text 244 - Part of List 4,"'the name of the variable (x here)",'283,'94.04296875
'12,'Text 245 - Part of List 4,"'an optional initialization expression (10 + 5 above), which specifies the initial value of the variable",'284,'95.31250000
'12,'Text 246,"'Unlike languages like Python, C++ is statically typed, meaning that the type of a variable must be known at compile time, generally by explicitly specifying the type in the variable's declaration. And the type of the variable never changes - for as long as it exists, it will have the type specified in its declaration.",'285,'91.60156250
'12,'Text 247,"'A variable's initialization is an expression, which is a fragment of code that evaluates to some value. (An expression may also have a side effect, which modifies the state of the program in some way, such as by printing to the screen or changing the value of an existing variable.) Expressions may be composed of the following elements:",'286,'89.11132813
'12,'List 5,"",'287,'87.89062500
'12,'Text 248 - Part of List 5,"'literals, which specify a value directly in source code, such as 42 or ""Hello World!""",'288,'96.48437500
'12,'Text 249 - Part of List 5,"'variables",'289,'93.99414063
'12,'Text 250 - Part of List 5,"'functions calls, such as sqrt (x)",'290,'95.75195313
'12,'Text 251 - Part of List 5,"'operators such as + and",'291,'93.99414063
'12,'Text 252,"'In the case of the variable declaration above, the initialization expression 10 + 5 evaluates to the value 15, which then becomes the initial value of the variable X.",'292,'90.47851563
'12,'Text 253,"'We will see later when initialization expressions are required. For now, we note that for a variable of type int, without an initialization expression, the variable would have an undefined value, which would result in undefined behavior if we were to use its value. Undefined behavior means that we cannot rely on the outcome - the program might work, or it might crash, or it might empty your bank account. Thus, undefined behavior should be avoided at all costs.",'293,'92.87109375
'12,'Text 254,"'Examining the following lines,",'294,'78.41796875
'12,'Page number 9,"'7",'295,'86.42578125
'13,'Header 10,"'Programming and Data Structures, Release 0.3",'296,'56.59179688
'13,'Text 255,"'int y = 0; y=x; X = 20;",'297,'76.75781250
'13,'Text 256,"'we see that the variable y is introduced with initial value 0. Then we have an assignment, which copies the value from the right-hand side into the left - in this case, the value of X, which is 15, is copied into y. The next line then assigns the value 20 to X. This, when the last line",'298,'97.60742188
'13,'Key value 1,"",'299,'85.98632813
'13,'Text 257,"'executes, we see that X has the value 20 and y the value 15.",'300,'90.28320313
'13,'Text 258,"'A variable can only be used when it is in scope. A scope is a region of source code where names are meaningful, and such a region often corresponds to a block of code delimited by curly braces. A variable is in scope starting at its declaration until the end of the scope region in which it is defined. For example, consider the following code:",'301,'95.84960938
'13,'Text 259,"'int main() { int X = 5; // X is now in scope cout << y << endl; // COMPILE ERROR -- y is not in scope int = -3; // y is now in scope Ex(s) int a = x - y; // a is now in scope cout a << endl; } // a is no longer in scope cout << a << endl; // COMPILE ERROR -- a is not in scope }",'302,'46.87500000
'13,'Text 260,"'The variable y is not in scope until its declaration, SO attempting to use it in the second statement is an error. Below, the curly braces associated with the conditional define a new scope region, in which the variable a is introduced. Outside of the curly braces, a is no longer in scope, SO using it in the last statement is erroneous. The compiler checks for us whether or not variables are in scope, reporting errors if we try to use one that is not.",'303,'97.60742188
'13,'Text 261,"'We have seen a simple program, how to compile and run it, and some fundamental C++ elements. We proceed to discuss more complex C++ features, such as type conversions, standard-library types, functions, and control flow.",'304,'97.60742188
'13,'Page number 10,"'8",'305,'91.06445313
'14,'Text 262,"'CHAPTER",'306,'51.26953125
'14,'Text 263,"'THREE",'307,'40.82031250
'14,'Text 264,"'TYPES",'308,'93.35937500
'14,'Text 265,"'Previously, we saw that in C++, a variable is declared with its type, and the remains its type as long as the variable exists. C++ has several fundamental (also called primitive or atomic) types that are built-in to the language and always available, without any #include lines. The following are a few such types:",'309,'97.75390625
'14,'List 6,"",'310,'91.40625000
'14,'Text 266 - Part of List 6,"'int represents a signed (positive, negative, or zero) integer, and in most implementations, can represent integers between 2-31 and 231 - 1, inclusive",'311,'97.65625000
'14,'Text 267 - Part of List 6,"'int X = 3;",'312,'96.48437500
'14,'Text 268 - Part of List 6,"'double represents a floating-point number1",'313,'96.67968750
'14,'Text 269 - Part of List 6,"'double y = 2.5;",'314,'94.67773438
'14,'Text 270 - Part of List 6,"'bool represents a Boolean value, i.e. true or false",'315,'95.89843750
'14,'Text 271 - Part of List 6,"'bool Z = true;",'316,'92.43164063
'14,'Text 272 - Part of List 6,"'char represents a single character (as opposed to a string, which is a sequence of characters), and a character literal is written with single quotes",'317,'86.08398438
'14,'Text 273 - Part of List 6,"'char c = 'w';",'318,'43.87207031
'14,'Text 274,"'As with int, a variable of fundamental type must be explicitly initialized - otherwise its value is undefined.",'319,'94.58007813
'14,'Text 275,"'int x; // undefined value double y ; // undefined value bool z; // undefined value char C; // undefined value",'320,'88.42773438
'14,'Text 276,"'The compiler's type system detects misuse of types. For instance, the following attempts to initialize a double with a string literal, which is not a compatible type:",'321,'95.65429688
'14,'Text 277,"'double y = ""llama""; // COMPILE ERROR",'322,'51.17187500
'14,'Text 278,"'On the other hand, there are some combinations of types for which C++ performs an implicit conversion, allowing one to be used where the other is expected. For instance, an int can be converted to a double, and vice versa:",'323,'95.75195313
'14,'Text 279,"'int X = 3.1; // narrowing conversion - - truncated to 3 double y = 42; // widening conversion - - value unchanged",'324,'70.65429688
'14,'Text 280,"'Similarly, numeric types can be converted to bool, with zero values converted to false and non-zero values to true.",'325,'90.28320313
'14,'Text 281,"'1 C++ also has a float type that represents floating-point numbers. A double typically uses twice the memory space of a float (hence the name), and it can represent a much larger range of values.",'326,'68.06640625
'14,'Page number 11,"'9",'327,'89.69726563
'15,'Header 11,"'Programming and Data Structures, Release 0.3",'328,'38.03710938
'15,'Key value 2,"",'329,'73.92578125
'15,'Text 282,"'Implicit conversions, while often useful, can also be a source of error. Consider the following code, which introduces a max () function that computes the maximum of two values. (We will discuss function definitions shortly.)",'330,'98.04687500
'15,'Text 283,"'double max (double X, double y) { int result = x; if (y x x) { result = y; } return result; }",'331,'84.27734375
'15,'Text 284,"'Suppose we have the call max (3.4, 3.1). The first line of the function implicitly converts the value of X, which is 3.4, to an int, SO that result contains the value 3. Then it is the case that y, whose value is 3.1, is larger than result, SO result is assigned the truncated value of y, which again results in 3. Thus, the function returns the value 3 instead of 3.4.",'332,'96.04492188
